Id,NFTMarket_DailyVolumeUSD,Date
443,3208,2019-04-11
444,6139,2019-04-12
445,10847,2019-04-13
446,3401,2019-04-14
447,24660,2019-04-15
448,3352,2019-04-16
449,2715,2019-04-17
450,2631,2019-04-18
451,1035,2019-04-19
452,1870,2019-04-20
453,8254,2019-04-21
454,2693,2019-04-22
455,2460,2019-04-23
456,356,2019-04-24
457,1543,2019-04-25
458,941,2019-04-26
459,877,2019-04-27
460,2612,2019-04-28
461,817,2019-04-29
462,858,2019-04-30
463,1430,2019-05-01
464,2009,2019-05-02
465,3278,2019-05-03
466,1071,2019-05-04
467,791,2019-05-05
468,591,2019-05-06
469,725,2019-05-07
470,922,2019-05-08
471,1471,2019-05-09
472,1647,2019-05-10
473,424,2019-05-11
474,782,2019-05-12
475,695,2019-05-13
476,2032,2019-05-14
477,423,2019-05-15
478,6346,2019-05-16
479,1906,2019-05-17
480,5699,2019-05-18
481,5281,2019-05-19
482,4848,2019-05-20
483,2374,2019-05-21
484,5207,2019-05-22
485,3501,2019-05-23
486,2254,2019-05-24
487,795,2019-05-25
488,2165,2019-05-26
489,10905,2019-05-27
490,3543,2019-05-28
491,3080,2019-05-29
492,2096,2019-05-30
493,1577,2019-05-31
494,1244,2019-06-01
495,233,2019-06-02
496,5201,2019-06-03
497,1520,2019-06-04
498,1082,2019-06-05
499,1139,2019-06-06
500,3745,2019-06-07
501,6032,2019-06-08
502,434,2019-06-09
503,351,2019-06-10
504,2302,2019-06-11
505,1056,2019-06-12
506,2080,2019-06-13
507,2049,2019-06-14
508,2455,2019-06-15
509,547,2019-06-16
510,2154,2019-06-17
511,2089,2019-06-18
512,2781,2019-06-19
513,2467,2019-06-20
514,7554,2019-06-21
515,3475,2019-06-22
516,6033,2019-06-23
517,39311,2019-06-24
518,5169,2019-06-25
519,21152,2019-06-26
520,5661,2019-06-27
521,9830,2019-06-28
522,23239,2019-06-29
523,3743,2019-06-30
524,6148,2019-07-01
525,4909,2019-07-02
526,8297,2019-07-03
527,8007,2019-07-04
528,9959,2019-07-05
529,3353,2019-07-06
530,13696,2019-07-07
531,21869,2019-07-08
532,28171,2019-07-09
533,16982,2019-07-10
534,21854,2019-07-11
535,4869,2019-07-12
536,3841,2019-07-13
537,18399,2019-07-14
538,3653,2019-07-15
539,19238,2019-07-16
540,2939,2019-07-17
541,9576,2019-07-18
542,1592,2019-07-19
543,9970,2019-07-20
544,5231,2019-07-21
545,3758,2019-07-22
546,1911,2019-07-23
547,4721,2019-07-24
548,2585,2019-07-25
549,3158,2019-07-26
550,4773,2019-07-27
551,5759,2019-07-28
552,2756,2019-07-29
553,7805,2019-07-30
554,15728,2019-07-31
555,42213,2019-08-01
556,8880,2019-08-02
557,8933,2019-08-03
558,5924,2019-08-04
559,2446,2019-08-05
560,9931,2019-08-06
561,1020,2019-08-07
562,7872,2019-08-08
563,8325,2019-08-09
564,2162,2019-08-10
565,1663,2019-08-11
566,20163,2019-08-12
567,3113,2019-08-13
568,5075,2019-08-14
569,7709,2019-08-15
570,7783,2019-08-16
571,1254,2019-08-17
572,581,2019-08-18
573,3848,2019-08-19
574,4201,2019-08-20
575,541,2019-08-21
576,14535,2019-08-22
577,3000,2019-08-23
578,9247,2019-08-24
579,4166,2019-08-25
580,10602,2019-08-26
581,4685,2019-08-27
582,35679,2019-08-28
583,8423,2019-08-29
584,1920,2019-08-30
585,1711,2019-08-31
586,5554,2019-09-01
587,8545,2019-09-02
588,9244,2019-09-03
589,4680,2019-09-04
590,10291,2019-09-05
591,5146,2019-09-06
592,1426,2019-09-07
593,3049,2019-09-08
594,12653,2019-09-09
595,6180,2019-09-10
596,3442,2019-09-11
597,2944,2019-09-12
598,3663,2019-09-13
599,10571,2019-09-14
600,6835,2019-09-15
601,7570,2019-09-16
602,10757,2019-09-17
603,3073,2019-09-18
604,5796,2019-09-19
605,412,2019-09-20
606,5065,2019-09-21
607,4370,2019-09-22
608,2147,2019-09-23
609,1432,2019-09-24
610,6091,2019-09-25
611,9958,2019-09-26
612,3448,2019-09-27
613,2556,2019-09-28
614,12171,2019-09-29
615,8582,2019-09-30
616,8266,2019-10-01
617,4726,2019-10-02
618,7483,2019-10-03
619,9964,2019-10-04
620,3335,2019-10-05
621,3501,2019-10-06
622,1771,2019-10-07
623,9125,2019-10-08
624,6029,2019-10-09
625,2624,2019-10-10
626,5102,2019-10-11
627,6422,2019-10-12
628,55795,2019-10-13
629,72186,2019-10-14
630,75821,2019-10-15
631,25255,2019-10-16
632,2999,2019-10-17
633,4237,2019-10-18
634,10908,2019-10-19
635,5725,2019-10-20
636,6636,2019-10-21
637,9489,2019-10-22
638,3010,2019-10-23
639,5261,2019-10-24
640,6276,2019-10-25
641,11387,2019-10-26
642,27440,2019-10-27
643,11379,2019-10-28
644,3301,2019-10-29
645,2692,2019-10-30
646,10899,2019-10-31
647,6584,2019-11-01
648,8985,2019-11-02
649,5896,2019-11-03
650,5248,2019-11-04
651,2788,2019-11-05
652,6697,2019-11-06
653,6368,2019-11-07
654,4189,2019-11-08
655,5854,2019-11-09
656,6958,2019-11-10
657,34654,2019-11-11
658,5501,2019-11-12
659,3850,2019-11-13
660,4731,2019-11-14
661,4541,2019-11-15
662,3165,2019-11-16
663,5110,2019-11-17
664,18386,2019-11-18
665,13684,2019-11-19
666,9322,2019-11-20
667,6999,2019-11-21
668,13050,2019-11-22
669,16452,2019-11-23
670,6962,2019-11-24
671,6961,2019-11-25
672,1375,2019-11-26
673,25281,2019-11-27
674,7069,2019-11-28
675,19073,2019-11-29
676,2178,2019-11-30
677,6510,2019-12-01
678,11701,2019-12-02
679,2164,2019-12-03
680,6522,2019-12-04
681,4040,2019-12-05
682,14900,2019-12-06
683,7781,2019-12-07
684,10218,2019-12-08
685,24799,2019-12-09
686,10871,2019-12-10
687,9388,2019-12-11
688,11935,2019-12-12
689,6715,2019-12-13
690,2203,2019-12-14
691,1326,2019-12-15
692,7654,2019-12-16
693,4413,2019-12-17
694,6610,2019-12-18
695,24015,2019-12-19
696,2705,2019-12-20
697,7689,2019-12-21
698,4182,2019-12-22
699,5967,2019-12-23
700,3966,2019-12-24
701,4851,2019-12-25
702,20312,2019-12-26
703,8581,2019-12-27
704,17919,2019-12-28
705,19379,2019-12-29
706,5005,2019-12-30
707,10575,2019-12-31
708,9781,2020-01-01
709,11759,2020-01-02
710,9910,2020-01-03
711,34979,2020-01-04
712,15289,2020-01-05
713,37563,2020-01-06
714,4008,2020-01-07
715,4586,2020-01-08
716,17610,2020-01-09
717,5312,2020-01-10
718,20258,2020-01-11
719,2646,2020-01-12
720,14594,2020-01-13
721,9305,2020-01-14
722,9192,2020-01-15
723,10240,2020-01-16
724,14404,2020-01-17
725,20962,2020-01-18
726,7793,2020-01-19
727,10633,2020-01-20
728,25633,2020-01-21
729,19958,2020-01-22
730,9583,2020-01-23
731,11819,2020-01-24
732,11859,2020-01-25
733,17124,2020-01-26
734,9385,2020-01-27
735,14454,2020-01-28
736,14909,2020-01-29
737,13452,2020-01-30
738,15642,2020-01-31
739,8774,2020-02-01
740,16584,2020-02-02
741,14695,2020-02-03
742,11246,2020-02-04
743,15275,2020-02-05
744,7508,2020-02-06
745,52295,2020-02-07
746,32473,2020-02-08
747,49598,2020-02-09
748,68899,2020-02-10
749,155355,2020-02-11
750,55569,2020-02-12
751,49032,2020-02-13
752,39613,2020-02-14
753,27533,2020-02-15
754,69248,2020-02-16
755,65159,2020-02-17
756,46938,2020-02-18
757,41110,2020-02-19
758,28167,2020-02-20
759,110179,2020-02-21
760,48731,2020-02-22
761,36144,2020-02-23
762,79303,2020-02-24
763,20525,2020-02-25
764,15947,2020-02-26
765,31497,2020-02-27
766,16386,2020-02-28
767,14091,2020-02-29
768,23267,2020-03-01
769,31652,2020-03-02
770,15848,2020-03-03
771,11925,2020-03-04
772,16293,2020-03-05
773,14744,2020-03-06
774,8868,2020-03-07
775,20501,2020-03-08
776,12640,2020-03-09
777,18125,2020-03-10
778,10304,2020-03-11
779,3992,2020-03-12
780,7639,2020-03-13
781,10194,2020-03-14
782,6215,2020-03-15
783,6610,2020-03-16
784,5099,2020-03-17
785,12038,2020-03-18
786,47676,2020-03-19
787,9019,2020-03-20
788,24539,2020-03-21
789,17979,2020-03-22
790,6749,2020-03-23
791,9564,2020-03-24
792,12478,2020-03-25
793,33434,2020-03-26
794,10510,2020-03-27
795,20246,2020-03-28
796,9241,2020-03-29
797,10992,2020-03-30
798,9811,2020-03-31
799,5146,2020-04-01
800,12216,2020-04-02
801,12882,2020-04-03
802,29972,2020-04-04
803,14607,2020-04-05
804,12622,2020-04-06
805,15864,2020-04-07
806,17399,2020-04-08
807,19407,2020-04-09
808,87963,2020-04-10
809,14175,2020-04-11
810,8119,2020-04-12
811,20924,2020-04-13
812,9628,2020-04-14
813,8725,2020-04-15
814,57618,2020-04-16
815,25943,2020-04-17
816,51973,2020-04-18
817,8358,2020-04-19
818,10144,2020-04-20
819,47413,2020-04-21
820,23269,2020-04-22
821,57109,2020-04-23
822,22331,2020-04-24
823,42454,2020-04-25
824,7211,2020-04-26
825,12576,2020-04-27
826,9596,2020-04-28
827,18786,2020-04-29
828,31099,2020-04-30
829,43041,2020-05-01
830,80567,2020-05-02
831,12522,2020-05-03
832,18341,2020-05-04
833,18997,2020-05-05
834,7208,2020-05-06
835,23035,2020-05-07
836,33166,2020-05-08
837,25599,2020-05-09
838,10232,2020-05-10
839,12947,2020-05-11
840,10430,2020-05-12
841,12090,2020-05-13
842,17251,2020-05-14
843,31159,2020-05-15
844,16354,2020-05-16
845,15877,2020-05-17
846,17992,2020-05-18
847,10179,2020-05-19
848,13773,2020-05-20
849,34666,2020-05-21
850,62178,2020-05-22
851,26424,2020-05-23
852,173438,2020-05-24
853,8436,2020-05-25
854,13924,2020-05-26
855,12201,2020-05-27
856,7603,2020-05-28
857,18477,2020-05-29
858,16050,2020-05-30
859,12063,2020-05-31
860,28450,2020-06-01
861,35416,2020-06-02
862,24916,2020-06-03
863,15934,2020-06-04
864,13695,2020-06-05
865,9629,2020-06-06
866,10484,2020-06-07
867,11978,2020-06-08
868,30323,2020-06-09
869,8093,2020-06-10
870,10916,2020-06-11
871,10683,2020-06-12
872,50634,2020-06-13
873,34414,2020-06-14
874,24891,2020-06-15
875,23333,2020-06-16
876,9899,2020-06-17
877,56718,2020-06-18
878,24471,2020-06-19
879,8932,2020-06-20
880,17356,2020-06-21
881,15134,2020-06-22
882,9767,2020-06-23
883,7234,2020-06-24
884,10991,2020-06-25
885,12327,2020-06-26
886,7525,2020-06-27
887,9455,2020-06-28
888,20365,2020-06-29
889,34888,2020-06-30
890,40730,2020-07-01
891,19229,2020-07-02
892,14519,2020-07-03
893,22676,2020-07-04
894,13653,2020-07-05
895,19224,2020-07-06
896,8448,2020-07-07
897,14218,2020-07-08
898,14234,2020-07-09
899,13343,2020-07-10
900,62504,2020-07-11
901,23395,2020-07-12
902,42073,2020-07-13
903,33873,2020-07-14
904,17947,2020-07-15
905,10057,2020-07-16
906,17138,2020-07-17
907,6343,2020-07-18
908,19727,2020-07-19
909,18418,2020-07-20
910,18899,2020-07-21
911,24277,2020-07-22
912,7297,2020-07-23
913,21422,2020-07-24
914,11016,2020-07-25
915,33260,2020-07-26
916,9814,2020-07-27
917,11092,2020-07-28
918,13029,2020-07-29
919,27006,2020-07-30
920,8787,2020-07-31
921,12651,2020-08-01
922,12654,2020-08-02
923,7774,2020-08-03
924,10865,2020-08-04
925,10432,2020-08-05
926,32998,2020-08-06
927,30838,2020-08-07
928,51059,2020-08-08
929,41765,2020-08-09
930,28706,2020-08-10
931,28966,2020-08-11
932,7303,2020-08-12
933,14385,2020-08-13
934,20828,2020-08-14
935,90166,2020-08-15
936,43482,2020-08-16
937,4701,2020-08-17
938,63323,2020-08-18
939,21198,2020-08-19
940,22191,2020-08-20
941,33915,2020-08-21
942,26756,2020-08-22
943,19914,2020-08-23
944,51217,2020-08-24
945,29065,2020-08-25
946,12492,2020-08-26
947,20367,2020-08-27
948,205593,2020-08-28
949,13885,2020-08-29
950,16129,2020-08-30
951,59873,2020-08-31
952,24694,2020-09-01
953,4521,2020-09-02
954,9617,2020-09-03
955,40913,2020-09-04
956,9038,2020-09-05
957,21753,2020-09-06
958,11524,2020-09-07
959,14052,2020-09-08
960,22431,2020-09-09
961,33116,2020-09-10
962,42824,2020-09-11
963,44422,2020-09-12
964,43739,2020-09-13
965,1552107,2020-09-14
966,424910,2020-09-15
967,50857,2020-09-16
968,93200,2020-09-17
969,168703,2020-09-18
970,82775,2020-09-19
971,201108,2020-09-20
972,32688,2020-09-21
973,83896,2020-09-22
974,100659,2020-09-23
975,334603,2020-09-24
976,227520,2020-09-25
977,242065,2020-09-26
978,237710,2020-09-27
979,424288,2020-09-28
980,256902,2020-09-29
981,176376,2020-09-30
982,183266,2020-10-01
983,136704,2020-10-02
984,235287,2020-10-03
985,146984,2020-10-04
986,131434,2020-10-05
987,100500,2020-10-06
988,132927,2020-10-07
989,178663,2020-10-08
990,118815,2020-10-09
991,123839,2020-10-10
992,93128,2020-10-11
993,133962,2020-10-12
994,122844,2020-10-13
995,145729,2020-10-14
996,139455,2020-10-15
997,87343,2020-10-16
998,89776,2020-10-17
999,137188,2020-10-18
1000,238800,2020-10-19
1001,84035,2020-10-20
1002,123101,2020-10-21
1003,66175,2020-10-22
1004,113675,2020-10-23
1005,190525,2020-10-24
1006,100449,2020-10-25
1007,96561,2020-10-26
1008,80508,2020-10-27
1009,132122,2020-10-28
1010,259500,2020-10-29
1011,94968,2020-10-30
1012,104713,2020-10-31
1013,119821,2020-11-01
1014,130196,2020-11-02
1015,201310,2020-11-03
1016,183414,2020-11-04
1017,87891,2020-11-05
1018,195536,2020-11-06
1019,99597,2020-11-07
1020,60845,2020-11-08
1021,149080,2020-11-09
1022,118508,2020-11-10
1023,174366,2020-11-11
1024,78051,2020-11-12
1025,139610,2020-11-13
1026,170108,2020-11-14
1027,77443,2020-11-15
1028,83212,2020-11-16
1029,119561,2020-11-17
1030,104744,2020-11-18
1031,151024,2020-11-19
1032,116802,2020-11-20
1033,297021,2020-11-21
1034,66751,2020-11-22
1035,87784,2020-11-23
1036,76849,2020-11-24
1037,110277,2020-11-25
1038,168518,2020-11-26
1039,145634,2020-11-27
1040,92897,2020-11-28
1041,132265,2020-11-29
1042,101288,2020-11-30
1043,40894,2020-12-01
1044,348983,2020-12-02
1045,113606,2020-12-03
1046,247045,2020-12-04
1047,54017,2020-12-05
1048,82415,2020-12-06
1049,106851,2020-12-07
1050,106091,2020-12-08
1051,79889,2020-12-09
1052,85633,2020-12-10
1053,155686,2020-12-11
1054,83360,2020-12-12
1055,202347,2020-12-13
1056,151496,2020-12-14
1057,112461,2020-12-15
1058,208138,2020-12-16
1059,160465,2020-12-17
1060,110934,2020-12-18
1061,148689,2020-12-19
1062,293279,2020-12-20
1063,259718,2020-12-21
1064,215518,2020-12-22
1065,167271,2020-12-23
1066,229372,2020-12-24
1067,132985,2020-12-25
1068,97819,2020-12-26
1069,84616,2020-12-27
1070,114293,2020-12-28
1071,145543,2020-12-29
1072,148756,2020-12-30
1073,118638,2020-12-31
1074,144140,2021-01-01
1075,118769,2021-01-02
1076,139538,2021-01-03
1077,109323,2021-01-04
1078,344821,2021-01-05
1079,450811,2021-01-06
1080,185594,2021-01-07
1081,204446,2021-01-08
1082,276329,2021-01-09
1083,277552,2021-01-10
1084,155614,2021-01-11
1085,97377,2021-01-12
1086,173364,2021-01-13
1087,198986,2021-01-14
1088,139796,2021-01-15
1089,317650,2021-01-16
1090,380817,2021-01-17
1091,245837,2021-01-18
1092,375466,2021-01-19
1093,223406,2021-01-20
1094,237376,2021-01-21
1095,252098,2021-01-22
1096,261734,2021-01-23
1097,306749,2021-01-24
1098,366274,2021-01-25
1099,221878,2021-01-26
1100,338096,2021-01-27
1101,422822,2021-01-28
1102,512580,2021-01-29
1103,303652,2021-01-30
1104,756630,2021-01-31
1105,472846,2021-02-01
1106,408774,2021-02-02
1107,738390,2021-02-03
1108,338570,2021-02-04
1109,821811,2021-02-05
1110,1252683,2021-02-06
1111,428379,2021-02-07
1112,517811,2021-02-08
1113,971777,2021-02-09
1114,633310,2021-02-10
1115,755797,2021-02-11
1116,867952,2021-02-12
1117,1571087,2021-02-13
1118,2026169,2021-02-14
1119,1099502,2021-02-15
1120,4590031,2021-02-16
1121,4417117,2021-02-17
1122,2647137,2021-02-18
1123,5752380,2021-02-19
1124,2792756,2021-02-20
1125,7387744,2021-02-21
1126,17107846,2021-02-22
1127,6556829,2021-02-23
1128,5718919,2021-02-24
1129,4621565,2021-02-25
1130,3081704,2021-02-26
1131,4345508,2021-02-27
1132,4853991,2021-02-28
1133,3928234,2021-03-01
1134,7183055,2021-03-02
1135,8229639,2021-03-03
1136,4896291,2021-03-04
1137,5766565,2021-03-05
1138,4385069,2021-03-06
1139,3948589,2021-03-07
1140,5267817,2021-03-08
1141,6329586,2021-03-09
1142,5762416,2021-03-10
1143,26488657,2021-03-11
1144,14315881,2021-03-12
1145,12142774,2021-03-13
1146,13013578,2021-03-14
1147,8911739,2021-03-15
1148,8510598,2021-03-16
1149,8170548,2021-03-17
1150,9328334,2021-03-18
1151,5806267,2021-03-19
1152,8461995,2021-03-20
1153,8701949,2021-03-21
1154,6548616,2021-03-22
1155,6480184,2021-03-23
1156,6395430,2021-03-24
1157,4018220,2021-03-25
1158,4743939,2021-03-26
1159,4647805,2021-03-27
1160,5971151,2021-03-28
1161,5371182,2021-03-29
1162,8054982,2021-03-30
1163,12266937,2021-03-31
1164,8357708,2021-04-01
1165,4695995,2021-04-02
1166,4483929,2021-04-03
1167,3630008,2021-04-04
1168,5387614,2021-04-05
1169,4504140,2021-04-06
1170,3606883,2021-04-07
1171,12214714,2021-04-08
1172,7720663,2021-04-09
