sales_id,active_wallets,cumulative_sales,date,primary_sales_cumulative,sales_count
231,62817,36626897.15,NULL,545328,871696
232,63002,36661012.1,NULL,547021,874456
233,63134,36711769.75,NULL,548700,877287
234,63218,36778217.36,NULL,549939,879405
235,63315,36843863.43,NULL,551970,882831
236,63461,36902875.03,NULL,553988,886072
237,63586,36997175.64,NULL,556184,889794
238,63757,37421930.61,NULL,558987,895443
239,63928,38150353.8,NULL,562525,901843
240,64113,38312014.95,NULL,566251,907316
241,64220,38474454.33,NULL,568978,911557
242,64321,38646955.74,NULL,571537,915987
243,64479,38865079.53,NULL,574681,921004
244,64585,39108216.34,NULL,577841,925553
245,64718,39197679.55,NULL,580658,929585
246,64827,39280069.24,NULL,583379,933459
247,64946,39403752.6,NULL,586368,937866
248,65092,39568601.89,NULL,592784,946458
249,65188,39692536.14,NULL,600219,955593
250,65255,39827268.39,NULL,605336,962305
251,65440,39994479.43,NULL,611514,970876
252,65503,40121637.55,NULL,617639,978594
253,65618,40215192.78,NULL,622159,984556
254,65698,40294542.82,NULL,625310,988912
255,65742,40379612.46,NULL,628562,993402
256,66006,40599523.45,NULL,632443,998568
257,66164,40731039.49,NULL,635853,1002938
258,66317,40849981.42,NULL,638341,1006715
259,66433,41019899.53,NULL,641599,1011809
260,66582,41119082.27,NULL,646514,1018390
261,66782,41210586.06,NULL,651301,1024503
262,66893,41306949.95,NULL,659318,1033580
263,66979,41370259.02,NULL,662339,1037647
264,67081,41439542,NULL,665420,1042481
265,67196,41503386.54,NULL,668235,1046239
266,67332,41560554.66,NULL,671418,1050690
267,67433,41601361.16,NULL,674319,1054626
268,67542,41649611.3,NULL,676508,1057755
269,67658,41701763.76,NULL,679330,1061521
270,67720,41741568.12,NULL,681401,1064345
271,67857,41793974.97,NULL,683677,1067472
272,68064,42009633.39,NULL,685598,1070533
273,68361,42269558.93,NULL,687567,1073914
274,68573,42409590.89,NULL,689643,1077316
275,68709,42702689.86,NULL,691449,1080472
276,68877,42820751.86,NULL,693405,1083648
277,69017,42935226.48,NULL,698618,1089977
278,69196,43031961.23,NULL,700640,1093026
279,69372,43137118.17,NULL,702778,1096480
280,69524,43327436.07,NULL,705479,1100151
281,69657,43416823.88,NULL,708492,1104001
282,69807,43630963.94,NULL,713192,1109769
283,69924,43710064.22,NULL,715349,1112940
284,70008,43784507.92,NULL,717286,1115852
285,70107,43845744.66,NULL,719279,1119060
286,70250,43923138.07,NULL,721445,1122305
287,70353,43973402.55,NULL,723407,1125300
288,70496,44036729.88,NULL,725139,1128056
289,70693,44104985.05,NULL,727616,1131869
290,70790,44147403.63,NULL,729302,1134610
291,70985,44218654.3,NULL,735514,1142096
292,71153,44267240.43,NULL,739695,1147373
293,71277,44320422.61,NULL,741969,1150652
294,71457,44391213.38,NULL,744179,1154122
295,71547,44435434.63,NULL,745968,1157065
296,71730,44528128.45,NULL,750545,1163248
297,71898,44613960.82,NULL,754238,1168134
298,72042,44705746.9,NULL,757029,1172095
299,72144,44767326.72,NULL,759677,1175886
300,72175,44852377.02,NULL,763686,1180991
301,72261,44919957.69,NULL,766948,1185145
302,72374,44980260.73,NULL,769937,1189017
303,72527,45030215,NULL,773145,1193090
304,72626,45076686.68,NULL,774867,1195662
305,72733,45127388.67,NULL,775965,1197478
306,72996,45284203.84,NULL,777152,1199342
307,73142,45366901.14,NULL,778545,1201563
308,73177,45461079.62,NULL,779880,1203848
309,73227,45522223.05,NULL,781019,1205642
310,73337,45582274.69,NULL,783345,1209030
311,73440,45642988.81,NULL,787838,1214305
312,73519,45744299.16,NULL,797068,1224238
313,73663,45852368.29,NULL,799680,1227589
314,73873,45921458.54,NULL,801228,1229837
315,74013,46016773.52,NULL,802725,1231944
316,74080,46084882.52,NULL,803899,1233669
317,74187,46170004.28,NULL,806086,1236525
318,74346,46258624.51,NULL,808998,1240042
319,74524,46320289.61,NULL,811155,1242872
320,74606,46378740.89,NULL,813196,1245606
321,74693,46459499.87,NULL,816029,1249330
322,74775,46515780.58,NULL,817846,1251718
323,74830,46570198.77,NULL,819343,1253808
324,74891,46642455.81,NULL,821111,1256315
325,74966,46680996.57,NULL,822749,1258589
326,75038,46725171.05,NULL,823983,1260390
327,75098,46753907.24,NULL,824945,1261799
328,75170,46780441.99,NULL,826054,1263444
329,75237,46824397.88,NULL,827787,1265898
330,75328,46876826.81,NULL,831115,1269781
331,75388,46929001.41,NULL,833958,1273158
332,75467,46974154.18,NULL,837018,1276807
333,75529,47027705.79,NULL,839072,1279470
334,75613,47057511.92,NULL,840344,1281296
335,75726,47088046.03,NULL,841761,1283145
336,75760,47116546.16,NULL,843102,1284856
337,76022,47152782.85,NULL,845287,1287892
338,76264,47199567.71,NULL,846536,1290192
339,76442,47242535.11,NULL,848493,1292883
340,76599,47278796.96,NULL,850603,1295694
341,76666,47323948.27,NULL,852066,1297787
342,76806,47372879,NULL,855568,1301898
343,76949,47432869.29,NULL,859380,1306433
344,77190,47476731.74,NULL,862059,1309783
345,77244,47511109.22,NULL,864169,1312662
346,77360,47559068.32,NULL,866528,1315575
347,77469,47617830.54,NULL,868358,1317903
348,77577,47665750.99,NULL,870077,1320094
349,77635,47721718.52,NULL,872040,1322608
350,77746,47775640.17,NULL,873420,1324619
351,77808,47838583.53,NULL,874972,1326792
352,77918,47906333.22,NULL,876441,1328856
353,77987,47942002.89,NULL,878649,1331637
354,78023,47982697.03,NULL,880257,1333702
355,78192,48025298.22,NULL,883121,1337083
356,78339,48062279.6,NULL,885417,1339986
